origin_abbrev,origin_id,target_abbrev,target_id,projection_intensity
ZI,797,mfbs,991,5341.19931335928
ZI,797,mfbc,768,5341.19931335928
ZI,797,fxs,1099,5341.19931335928
ZI,797,alv,466,5340.44554856693
LHA,194,PALv,835,5339.94492871451
LHA,194,SI,342,5339.94492871451
PVH,38,fxpo,737,5336.133795788811
PVH,38,fxs,1099,5336.133795788811
PMv,1004,VMH,693,5331.55755676905
LHA,194,VM,685,5329.87523930891
LHA,194,DORsm,864,5329.87523930891
LHA,194,VENT,637,5329.87523930891
PH,946,PVT,149,5329.302771064749
LPO,226,grey,8,5325.58080929096
LPO,226,root,997,5324.87431135068
PVH,38,mfbc,768,5320.7822469676
VMH,693,IIn,848,5313.61248502556
VMH,693,och,117,5313.61248502556
VMH,693,cm,967,5313.61248502556
PH,946,PCN,907,5313.4406524836895
LM,210,SUM,525,5307.906966514461
TMv,1,MB,313,5306.33076613409
ZI,797,mtt,690,5303.34599291574
PH,946,ccb,484682516,5302.56754042563
PH,946,lfbs,983,5302.56754042563
PH,946,cc,776,5302.56754042563
MM,491,SNr,381,5299.05007402247
PH,946,HIP,1080,5288.43970802489
ZI,797,VTA,749,5287.24234594654
PMv,1004,MB,313,5274.28770963727
VMH,693,opt,125,5274.144064397
PVH,38,mfbs,991,5271.87332940128
MM,491,EW,975,5267.97215289387
LM,210,PVp,126,5260.48711348233
LM,210,PVR,141,5260.48711348233
PH,946,RSPv5,687,5259.0531771756105
SUM,525,IPRL,607344862,5255.97719713556
SUM,525,PH,946,5253.536862122821
MPO,523,IIn,848,5234.308107040921
MPO,523,cm,967,5229.08569462122
ADP,72,HY,1097,5224.89802653881
ADP,72,BS,343,5224.89777300361
ADP,72,IB,1129,5224.89777300361
PH,946,RSPv,886,5211.8395944504
PVH,38,TH,549,5199.90451329433
MPN,515,ASO,332,5199.79782822367
PH,946,FC,982,5196.254723508599
PMv,1004,VS,73,5194.16236713122
PMv,1004,V3,129,5194.16236713122
PH,946,HPF,1089,5182.69468758563
PSTN,364,epsc,760,5172.17674501635
PSTN,364,nst,102,5172.17674501635
PSTN,364,eps,1000,5172.17674501635
LHA,194,SO,390,5144.380776187671
LHA,194,PVZ,157,5144.380776187671
ARH,223,VMH,693,5138.93345661618
DMH,830,fxs,1099,5135.38059251704
DMH,830,fx,436,5135.38059251704
DMH,830,fxpo,737,5135.38059251704
DMH,830,mfbc,768,5135.38059251704
ZI,797,MEZ,467,5134.41968319089
ZI,797,RT,262,5117.89303861027
STN,470,VPL,718,5114.335728056721
PVHd,63,PVi,118,5107.23651022231
PMv,1004,MM,491,5104.31805359401
PMv,1004,MMl,606826647,5104.31805359401
MPO,523,fxpo,737,5101.18762950147
MPO,523,fxs,1099,5101.18762950147
MPO,523,fx,436,5101.18762950147
LM,210,TMd,1126,5101.15537371801
MPN,515,VL,81,5093.58569034109
ZI,797,PH,946,5091.56673582922
