n1,n2,intensity,distance,R1+R2
797,525,6807.540039,1.841982628,1
1004,194,6791.816895,1.45361618,1
946,830,6719.672852,1.157108465,1
223,126,6658.140625,0.854751426,1
223,1,6599.261448,1.145643924,1
830,1004,6592.580078,1.07893466,1
1004,946,6512.856145,1.32438665,1
946,693,6491.565614,1.951127879,1
1004,210,6480.464425,0.570087713,1
830,88,6479.055664,1.035084538,1
830,946,6458.917969,1.157108465,1
515,88,6456.4551,0.620483682,1
126,830,6450.233398,1.035615759,1
194,525,6428.083008,1.340373082,1
797,63,6374.381525,2.061552813,1
693,272,6343.896973,2.707655813,1
286,347,6330.438493,6.116404172,1
470,364,6276.371182,1.076150547,1
830,38,6221.678781,3.196326016,1
194,946,6176.701745,1.305756486,1
491,797,6163.989258,2.015241921,1
525,491,6138.99886,0.413400532,1
614,194,6123.714355,0.76065761,1
226,523,6120.566151,0.221359436,1
1004,614,6109.053223,1.90010526,1
797,194,6107.832738,1.336600165,1
693,390,6078.946777,2.119457478,1
210,1004,5903.52103,0.570087713,1
830,491,5901.88898,1.22,1
491,364,5885.454102,1.259880947,1
210,194,5880.169014,1.210784869,1
1,1004,5812.5625,0.05,1
470,797,5798.949436,0.921954446,1
223,614,5766.096191,1.444783721,1
1,210,5752.377094,0.531507291,1
946,1,5721.54268,1.336600165,1
210,1,5688.387221,0.531507291,1
525,210,5678.026367,0.933488082,1
194,88,5671.757377,1.107113364,1
88,272,5652.778813,1.561601742,1
194,210,5628.800293,1.210784869,1
614,390,5619.554688,0.326190129,1
614,523,5610.125977,1.184989451,1
515,693,5591.950266,1.897208476,1
63,88,5546.298475,0.366878727,1
830,223,5521.078125,0.744378936,1
523,390,5494.19489,1.053850084,1
946,364,5466.201199,1.162239218,1
194,491,5425.663006,1.654116078,1
946,614,5369.523438,2.01841522,1
1004,693,5331.557617,1.712337584,1
210,525,5307.906967,0.933488082,1
525,946,5298.104492,0.623698645,1
210,126,5260.487305,0.943716059,1
194,390,5144.380859,1.081203034,1
614,272,5141.015137,1.944659353,1
223,693,5138.933594,0.870114935,1
1004,491,5104.318054,0.660681466,1
1,525,5091.234375,0.825772366,1
1,491,5065.475255,0.693541635,1
364,210,5034.85947,0.513225097,1
72,523,5013.582031,4.778085391,1
515,226,4983.234863,0.739256383,1
63,194,4955.388885,0.850940656,1
1004,525,4954.202352,0.798373346,1
38,347,4913.93457,6.182394358,1
210,491,4890.004008,0.908019824,1
194,614,4879.797366,0.76065761,1
194,693,4865.494141,1.972485741,1
63,347,4860.958169,5.118486104,1
88,1004,4815.866699,2.113504199,1
491,1,4735.570527,0.693541635,1
515,272,4712.333984,0.965194281,1
515,38,4691.248535,3.206883222,1
614,38,4641.884766,2.291593332,1
523,194,4554.753937,1.753282636,1
515,72,4548.003493,4.394246238,1
194,38,4516.549326,2.519444383,1
525,1004,4508.748047,0.798373346,1
946,210,4506.198245,1.205404496,1
223,830,4488.279993,0.744378936,1
614,72,4471.866211,3.814039853,1
515,797,4458.120117,2.77459907,1
390,223,4368.144043,1.518222645,1
614,286,4310.769531,1.063672882,1
223,1004,4267.43457,1.124722188,1
223,946,4250.993652,1.751856158,1
523,347,4249.420442,6.205449218,1
38,88,4069.628906,3.205635662,1
194,1,4051.744159,1.438923209,1
515,946,4032.420654,2.379768896,1
946,470,3991.85083,1.785637141,1
38,63,3984.435791,3.173594177,1
194,830,3861.815442,0.760065787,1
614,347,3806.131104,5.628978593,1
693,226,3802.115479,2.581879161,1
491,72,3684.701172,1.790809873,1
126,515,3672.220947,2.506970283,1
830,126,3657.611572,1.035615759,1
390,614,3651.734375,0.326190129,1
491,830,3600.882324,1.22,1
515,63,3529.825684,0.965194281,1
