experiment_id,id,origin_abbrev,origin_id,target_abbrev,target_id,is_injection,max_voxel_density,max_voxel_x,max_voxel_y,max_voxel_z,normalized_projection_volume,projection_density,projection_energy,projection_intensity,projection_volume,sum_pixel_intensity,sum_pixels,sum_projection_pixel_intensity,sum_projection_pixels,volume
549362997,635145681,SI,342,SSp-ul5,625,True,0.995735883712769,5590,1680,7650,0.00469856006919889,0.3725076877906521,1164.3492566057598,3125.7053069469002,0.001939628709375,6643663360.0,4250571.0,4949149184.0,1583370.375,0.005206949475
113766744,633317016,VII,661,fiber tracts,1009,True,0.5583481788635251,10660,5650,6880,0.00027920221308928904,0.434072985410412,1355.7486618885,3123.3195970642,5.76481124023437e-05,185423936.0,108414.21875,146982432.0,47059.68359375,0.00013280741796875
113766744,633316837,VII,661,VIIn,798,True,0.5583481788635251,10660,5650,6880,0.00027920221308928904,0.434072985410412,1355.7486618885,3123.3195970642,5.76481124023437e-05,185423936.0,108414.21875,146982432.0,47059.68359375,0.00013280741796875
113766744,633316976,VII,661,cm,967,True,0.5583481788635251,10660,5650,6880,0.00027920221308928904,0.434072985410412,1355.7486618885,3123.3195970642,5.76481124023437e-05,185423936.0,108414.21875,146982432.0,47059.68359375,0.00013280741796875
174583904,633649211,MRN,128,SPFm,414,True,0.238400623202324,7690,4620,6080,1.9596568039768306e-05,0.28101660147456603,877.69958576379,3123.30154573885,1.73829426025391e-05,92743440.0,50495.796875,44320140.0,14190.1572265625,6.1857351171875e-05
142655513,633731734,PCG,898,RAmb,165,True,1.0,10290,4590,5690,0.0160408024623014,0.932849612160116,2913.22223688397,3122.9280678351597,0.00308242918046875,7991907072.0,2697400.1875,7858126208.0,2516268.71875,0.0033043152296875
142655513,633732211,PCG,898,DR,872,True,1.0,10290,4590,5690,0.0160408024623014,0.932849612160116,2913.22223688397,3122.9280678351597,0.00308242918046875,7991907072.0,2697400.1875,7858126208.0,2516268.71875,0.0033043152296875
603717226,641497728,SSp-bfd,329,ccb,484682516,True,0.121769070625305,6950,2260,2840,1.7471188071438695e-05,0.5140053738164501,1604.84275374892,3122.22952424231,1.9030023590087899e-06,6312337.0,3022.2861328125,4850294.0,1553.47131347656,3.70230051269531e-06
522255595,638055895,ZI,797,CA,375,True,0.960565984249115,7040,2250,3060,0.0789577561688251,0.143453339565241,447.78789131852005,3121.4880927527697,0.00291976479921875,14831752192.0,16615029.5,7440009024.0,2383481.46875,0.0203534111375
147633885,634008935,PRNc,1093,SCs,302,True,0.46521478891372703,10150,1480,6420,0.000203628927931828,0.857840134035132,2673.7976959730104,3116.8950832318,0.00012599609841003402,336636956.375,119898.747802734,320584995.625,102853.957885742,0.00014687596605835
304947804,636076999,SUM,525,SNc,374,True,0.10576594620943099,8160,5440,6690,8.76076648155634e-06,0.292892092988067,912.745505438636,3116.3200622005998,1.21339472503662e-06,4751743.0,3381.88134765625,3086797.0,990.5263061523441,4.14280465087891e-06
159942097,628203855,GPe,1022,SSp-ul,369,True,0.9933817386627201,5950,2000,8210,0.0400422296609631,0.205498886244351,640.391030714179,3116.27494638932,0.00203375490527344,10367753728.0,8078915.25,5173664864.0,1660208.0859375,0.00989667118125
179902786,630211882,IMD,59,PVT,149,True,0.84863293170929,6480,3720,5690,0.119414663956571,0.0886343619429765,276.19642759849,3116.13263235519,0.000588624883984375,3266532928.0,5421262.125,1497333232.0,480510.109375,0.006641046103125
179902786,630212159,IMD,59,MTN,571,True,0.84863293170929,6480,3720,5690,0.119414663956571,0.0885042787793326,275.79107120734,3116.13263235519,0.000588624883984375,3269433631.25,5429230.27001953,1497333232.0,480510.109375,0.0066508070807739204
168615344,630165616,ACB,56,ORBm,731,True,0.8272677063941959,3600,3940,6530,0.000720360440370948,0.638355647448741,1989.1709193243805,3116.08572317692,0.00055393577421875,1638861952.0,708370.75,1409070496.0,452192.46875,0.00086775416875
298835859,632907551,BST,351,LSr,258,True,0.924750685691833,5000,4590,6000,0.00981448724435777,0.32043722748174297,998.3586700774208,3115.61386897315,0.002198097125,9169865728.0,5599739.5,5590548480.0,1794365.0,0.0068596808875
156313344,628437033,NLL,612,VISp5,778,True,0.735807240009308,9290,1150,8050,0.00501621631045285,0.2118154839694089,659.739526149212,3114.68979408745,0.0001507099890625,716488704.0,580828.9375,383195808.0,123028.5625,0.0007115154484375
100141596,631535449,IC,4,PRE,1084,True,0.00458715716376901,9430,2820,7940,8.204514034330242e-08,1.0,3112.81514605666,3112.81514605666,2.37424499511719e-08,60331.3125,19.381591796875,60331.3125,19.381591796875,2.37424499511719e-08
155735826,628175798,AD,64,DORpm,856,True,0.9920843243598941,6080,3800,6380,0.987208029512562,0.42258783667426797,1313.39800243755,3107.98818246613,0.0030466160282287607,10105074979.25,5885246.27685547,7729670703.875,2487033.49243164,0.00720942668914795
168515225,629763837,PRNr,146,PAG,795,True,0.9730006456375121,9800,3490,6580,0.0175157169387022,0.21138955549234398,656.989590960455,3107.95672676577,0.007300986525,35776491520.0,28194340.0,18523387904.0,5959989.0,0.0345380665
168664192,629896604,IP,91,P-sen,1132,True,0.9510831832885741,10780,4020,7120,0.127937988454968,0.130291974147687,404.755826014887,3106.52922916107,0.008011155775,47441719296.0,50192800.0,20315828224.0,6539719.0,0.06148618
168664192,629896385,IP,91,PB,867,True,0.9510831832885741,10780,4020,7120,0.127937988454968,0.130291974147687,404.755826014887,3106.52922916107,0.008011155775,47441719296.0,50192800.0,20315828224.0,6539719.0,0.06148618
293469501,631992611,MEA,403,VPM,733,True,1.0,6750,4280,7590,0.0984380183357548,0.6315165119751209,1961.2041727470998,3105.546942253771,0.02055915295,57171222528.0,26575682.0,52120338432.0,16782982.0,0.03255521045
159941339,628223641,CP,672,SSp-ll2/3,113,True,0.19907155632972692,5710,1010,8030,9.4057497272349e-06,0.177383264396844,550.834523258215,3105.33536030705,1.2113051071167e-06,5992623.5,5574.48583984375,3070619.25,988.8204956054692,6.82874515380859e-06
147162736,633939988,SF,310,BS,343,True,1.0,5280,4720,5680,0.32529240155023603,0.6449541699714929,2002.22058383129,3104.43854316003,0.0570697176870253,155598844451.62802,72233852.902337,144628107130.5,46587524.64246961,0.0884864698053628
147162736,633940559,SF,310,IB,1129,True,1.0,5280,4720,5680,0.32529240155023603,0.6449541699714929,2002.22058383129,3104.43854316003,0.0570697176870253,155598844451.62802,72233852.902337,144628107130.5,46587524.64246961,0.0884864698053628
181093729,630388567,CA1,382,VISli5,312782590,True,1.0,8540,1990,9430,0.00694402332213593,0.82231400573921,2552.23209636918,3103.7195992726397,0.0037735494124999996,10078469120.0,3746073.25,9560848384.0,3080448.5,0.00458893973125
583748537,641304545,SSp-bfd,329,AUDd6a,156,True,1.0,7440,2680,1940,0.00712685734889765,0.9764122611299301,3029.08990923057,3102.2653338306395,0.0061105578625,15557236736.0,5108713.5,15474752512.0,4988210.5,0.0062581740375000005
155735826,628176213,AD,64,root,997,True,0.9920843243598941,6080,3800,6380,1.00000018286854,0.4147691716257391,1286.45908574166,3101.6265762935805,0.0030860938062499997,10272068608.0,6073885.0,7813804544.0,2519260.25,0.007440509125
583748537,641304903,SSp-bfd,329,CA2,423,True,0.8740975856781009,7280,2340,2790,0.00020464329466973402,0.253376254562573,785.826286216169,3101.4204056840804,0.000175460884375,666250880.0,565299.125,444226912.0,143233.375,0.0006924914281249999
182185289,630496506,IMD,59,MD,362,True,1.0,7090,3830,5970,0.252702104591702,0.5267209559442729,1633.34885452772,3100.97564202578,0.02584425589375,73578961920.0,40054134.0,65422373888.0,21097351.75,0.04906631415
513826657,634687587,CLA,583,SSp-bfd2/3,201,True,0.7486566305160519,5870,1690,9260,0.024049337808505003,0.24996233170253696,775.0569494765849,3100.69498951117,0.0001917925078125,853557760.0,626355.625,485461280.0,156565.3125,0.0007672856406249999
174583904,633649558,MRN,128,DG,726,True,0.5689563155174261,7470,2550,6490,0.000338935424278163,0.19331727881368801,599.320458456804,3100.19084757761,0.000300649328710937,1193804256.0,1269560.71875,760873712.0,245428.0234375,0.00155521188046875
182804552,630526113,V,621,Acs5,549009219,True,0.999969840049744,10200,5480,6980,0.008162277394618491,0.7332827974620609,2273.0158272569197,3099.7806509630104,0.00231577675,6660135936.0,2578036.75,5859918336.0,1890430.0,0.0031580950187500003
120762196,633144608,CP,672,amc,884,True,1.0,6920,4920,9510,0.0122931871670052,0.8937150619800891,2768.989545765189,3098.29123795933,0.00293633388125,7778565120.0,2682071.0,7426626560.0,2397007.25,0.003285536975
182031296,630454757,NPC,634,SUB,502,True,0.32309952378273,7830,2370,6410,0.000102496196122295,0.523037821495982,1620.1913761653198,3097.65624889473,1.69793780761719e-05,48754568.0,26500.41015625,42935736.0,13860.716796875,3.24630024414062e-05
182031296,630455275,NPC,634,RHP,822,True,0.32309952378273,7830,2370,6410,0.000102496196122295,0.523037821495982,1620.1913761653198,3097.65624889473,1.69793780761719e-05,48754568.0,26500.41015625,42935736.0,13860.716796875,3.24630024414062e-05
180522266,630098865,MRN,128,tsp,877,True,0.872648775577545,8430,4420,5750,2.464293892180389e-05,0.999995547869598,3096.2553068899397,3096.2690918836997,1.04792675655365e-05,26487084.75,8554.542221069341,26487046.75,8554.504135131841,1.04793142208099e-05
584903636,635457667,MOp,985,SSp-m2/3,657,True,0.4151362180709841,5010,2610,9510,0.00020825240680264598,0.232103015675179,718.640297965505,3096.21267037401,7.021546875e-05,391055616.0,246953.921875,177471040.0,57318.75,0.000302518554296875
300076066,632677120,PAG,795,PCG,898,True,0.32562255859375,10420,3940,6460,0.000722416949051196,0.0986617954324757,305.43298275747895,3095.757394426469,9.437685314941407e-06,58700128.0,78087.296875,23850436.0,7704.23291015625,9.5656938671875e-05
300076066,632677208,PAG,795,P-mot,987,True,0.32562255859375,10420,3940,6460,0.000722416949051196,0.0986617954324757,305.43298275747895,3095.757394426469,9.437685314941407e-06,58700128.0,78087.296875,23850436.0,7704.23291015625,9.5656938671875e-05
522774776,634899825,SSp-bfd,329,SSp-n6b,929,True,0.9998872876167301,6010,2520,8420,0.0369873924938276,0.6001421644592421,1857.8574915783802,3095.6956561324105,0.000644149253125,1895789696.0,876185.9375,1627828608.0,525836.125,0.0010733277734375
302079862,634255709,CUL,928,PFL,1041,True,1.0,10290,4440,8670,0.14244104772271,0.490776971022306,1518.87738550763,3094.84241353817,0.0059658155374999996,17554415616.0,9923150.0,15072048128.0,4870053.5,0.01215585875
155735826,628174029,AD,64,BS,343,True,0.9920843243598941,6080,3800,6380,0.9962028870134381,0.41560465216169,1286.12927981911,3094.5978903978803,0.00307437499717407,10211284291.25,6038656.83935547,7766493371.875,2509693.87524414,0.00739735462821045
155735826,628176634,AD,64,IB,1129,True,0.9920843243598941,6080,3800,6380,0.9962028870134381,0.41560465216169,1286.12927981911,3094.5978903978803,0.00307437499717407,10211284291.25,6038656.83935547,7766493371.875,2509693.87524414,0.00739735462821045
155735826,628173771,AD,64,grey,8,True,0.9920843243598941,6080,3800,6380,0.9962028870134381,0.41560465216169,1286.12927981911,3094.5978903978803,0.00307437499717407,10211284291.25,6038656.83935547,7766493371.875,2509693.87524414,0.00739735462821045
155735826,628174446,AD,64,TH,549,True,0.9920843243598941,6080,3800,6380,0.996202936534277,0.415604696177039,1286.1293209839,3094.59766170697,0.00307437515,10211282944.0,6038656.5,7766493184.0,2509694.0,0.0073973542125
182804552,630526117,V,621,I5,549009227,True,1.0,10240,5540,7530,0.0230295947558989,0.314903635258204,974.079359615875,3093.26171740502,0.0065338872375,22779465728.0,16937834.0,16498794496.0,5333785.5,0.02074884665
168664192,629896313,IP,91,P,771,True,0.9510831832885741,10780,4020,7120,0.133013608262283,0.130836333765634,404.55488583937796,3092.06834367627,0.00832897835,49250000896.0,51966956.0,21023485952.0,6799166.0,0.0636595211
310439724,634270844,PIR,961,BMAa,327,True,0.8047135472297672,6130,6430,8390,0.0008853861718611199,0.183750282438718,568.156741315753,3092.00472388519,0.0005015905671875,3700138496.0,2228359.5,1266057472.0,409461.6875,0.0027297403875
310439724,634270836,PIR,961,BMA,319,True,0.8047135472297672,6130,6430,8390,0.0008853861718611199,0.183750282438718,568.156741315753,3092.00472388519,0.0005015905671875,3700138496.0,2228359.5,1266057472.0,409461.6875,0.0027297403875
267929554,631403783,VM,685,SPFm,414,True,0.012605837546289,7480,4770,6180,1.8180452584595198e-07,1.0,3090.3238097333,3090.3238097333,4.41876842498779e-08,111472.859375,36.0715789794922,111472.859375,36.0715789794922,4.41876842498779e-08
267929554,631403778,VM,685,SPF,406,True,0.012605837546289,7480,4770,6180,1.8180452584595198e-07,1.0,3090.3238097333,3090.3238097333,4.41876842498779e-08,111472.859375,36.0715789794922,111472.859375,36.0715789794922,4.41876842498779e-08
549362997,635145365,SI,342,SSp-ul,369,True,0.995735883712769,5590,1680,7650,0.0110891728277392,0.320833149714139,990.4942167645912,3087.2564685012,0.00457775949719238,16131695666.0,11647632.208984401,11536912342.0,3736946.52832031,0.0142683494560059
